Species,Area,Units,Country,2013,2012,2011,2010,2009,2008,2007,2006
ABK,27,TLW,LT,0,0,0,0,0,0,0,0
ABK,27,TLW,LV,0,0,2,1,1,1,0,0
ABK,27,TLW,NL,0,0,2,0,0,0,0,0
ABK,27,TLW,PL,54,31,44,0,0,0,0,0
ABK,27,TLW,RU,47,31,46,34,0,20,0,0
ABK,27_3,TLW,LT,0,0,0,0,0,0,0,0
ABK,27_3,TLW,LV,0,0,2,1,1,1,0,0
ABK,27_3,TLW,PL,54,31,44,0,0,0,0,0
ABK,27_3,TLW,RU,47,31,46,34,0,20,0,0
ABK,27_3_D,TLW,LT,0,0,0,0,0,0,0,0
ABK,27_3_D,TLW,LV,0,0,2,1,1,1,0,0
ABK,27_3_D,TLW,PL,54,31,44,0,0,0,0,0
ABK,27_3_D,TLW,RU,47,31,46,34,0,20,0,0
ABK,27_3_D_24,TLW,PL,46,26,34,0,0,0,0,0
ABK,27_3_D_25,TLW,PL,0,0,2,0,0,0,0,0
ABK,27_3_D_26,TLW,LT,0,0,0,0,0,0,0,0
ABK,27_3_D_26,TLW,LV,0,0,0,0,0,0,0,0
ABK,27_3_D_26,TLW,PL,8,5,8,0,0,0,0,0
ABK,27_3_D_26,TLW,RU,0,0,15,4,0,4,0,0
ABK,27_3_D_28,TLW,LV,0,0,1,1,1,1,0,0
ABK,27_3_D_28_1,TLW,LV,0,0,0,0,0,0,0,0
ABK,27_3_D_28_2,TLW,LV,0,0,0,0,0,0,0,0
ABK,27_3_D_28_NK,TLW,LV,0,0,1,1,1,1,0,0
ABK,27_3_D_32,TLW,RU,47,31,31,30,0,16,0,0
ABK,27_4,TLW,NL,0,0,2,0,0,0,0,0
ABK,27_4_B,TLW,NL,0,0,2,0,0,0,0,0
ABX,27,TLW,IE,0,0,0,0,0,0,0,5
ABX,27,TLW,PT,0,3,0,0,0,0,0,0
ABX,27_10,TLW,PT,0,0,0,0,0,0,0,0
ABX,27_10_B,TLW,PT,0,0,0,0,0,0,0,0
ABX,27_7,TLW,IE,0,0,0,0,0,0,0,5
ABX,27_7_J,TLW,IE,0,0,0,0,0,0,0,5
ABX,27_7_J_NK,TLW,IE,0,0,0,0,0,0,0,5
ABX,27_9,TLW,PT,0,3,0,0,0,0,0,0
ABX,27_9_A,TLW,PT,0,3,0,0,0,0,0,0
ACC,27,TLW,LT,0,0,0,0,0,0,0,0
ACC,27,TLW,LV,0,0,0,0,0,0,0,0
ACC,27,TLW,PL,0,1,0,1,1,1,2,2
ACC,27,TLW,RU,284,267,169,259,0,207,0,0
ACC,27_3,TLW,LT,0,0,0,0,0,0,0,0
ACC,27_3,TLW,LV,0,0,0,0,0,0,0,0
ACC,27_3,TLW,PL,0,1,0,1,1,1,2,2
ACC,27_3,TLW,RU,284,267,169,259,0,207,0,0
ACC,27_3_D,TLW,LT,0,0,0,0,0,0,0,0
ACC,27_3_D,TLW,LV,0,0,0,0,0,0,0,0
ACC,27_3_D,TLW,PL,0,1,0,1,1,1,2,2
ACC,27_3_D,TLW,RU,284,267,169,259,0,207,0,0
ACC,27_3_D_24,TLW,PL,0,0,0,1,1,1,2,2
ACC,27_3_D_25,TLW,PL,0,0,0,0,0,0,0,0
ACC,27_3_D_26,TLW,PL,0,1,0,0,0,0,0,0
ACC,27_3_D_26,TLW,RU,1,1,10,28,0,56,0,0
ACC,27_3_D_28,TLW,LV,0,0,0,0,0,0,0,0
ACC,27_3_D_28_1,TLW,LV,0,0,0,0,0,0,0,0
ACC,27_3_D_28_NK,TLW,LV,0,0,0,0,0,0,0,0
ACC,27_3_D_32,TLW,RU,283,266,159,231,0,151,0,0
AGK,27,TLW,PT,3,3,3,3,2,3,3,5
AGK,27_10,TLW,PT,3,3,3,3,2,3,3,5
AGK,27_10_A,TLW,PT,3,3,3,0,2,3,0,0
AGK,27_10_A_2,TLW,PT,3,3,3,0,0,0,0,0
AGK,27_10_A_NK,TLW,PT,0,0,0,0,2,3,0,0
AGK,27_10_NK,TLW,PT,0,0,0,3,0,0,3,5
ALB,27,TLW,CN,0,0,0,0,0,0,9,15
ALB,27,TLW,CV,0,0,0,0,0,0,0,0
ALB,27,TLW,ES,9465,7500,7473,12437,9056,13587,14197,22835
ALB,27,TLW,FR,5596,4490,3583,1297,1289,311,2575,5529
ALB,27,TLW,IE,2231,3672,3597,786,1997,1522,557,522
ALB,27,TLW,JP,0,0,0,0,7,58,105,184
ALB,27,TLW,KR,0,0,0,0,0,0,0,0
ALB,27,TLW,NL,0,0,6,0,0,0,0,0
ALB,27,TLW,PA,0,0,0,0,0,0,0,0
ALB,27,TLW,PT,422,1241,1006,61,53,488,39,44
ALB,27,TLW,TW,0,0,0,0,0,5,29,0
ALB,27,TLW,UK,133,50,58,118,66,49,30,18
ALB,27,TLW,UKM,133,50,53,100,16,0,8,17
ALB,27,TLW,US,0,0,0,0,0,0,0,0
CAA,27_1,TLW,BE,0,0,0,0,0,0,0,0
ALB,27_10,TLW,ES,2196,326,266,14,292,2,19,20
ALB,27_10,TLW,FR,138,0,0,0,0,2,2,0
ALB,27_10,TLW,IE,404,0,0,0,0,0,0,0
ALB,27_10,TLW,PT,372,1130,861,5,51,432,15,24
ALB,27_10,TLW,UK,41,0,0,0,0,0,0,0
ALB,27_10_A,TLW,ES,57,7,0,0,0,0,0,0
ALB,27_10_A,TLW,FR,138,0,0,0,0,2,2,0
ALB,27_10_A,TLW,PT,372,1130,861,1,51,432,9,5
ALB,27_10_A_1,TLW,ES,55,7,0,0,0,0,0,0
ALB,27_10_A_1,TLW,PT,9,29,2,0,0,0,0,0
ALB,27_10_A_2,TLW,ES,2,0,0,0,0,0,0,0
ALB,27_10_A_2,TLW,PT,363,1101,859,0,0,0,0,0
ALB,27_10_A_NK,TLW,FR,138,0,0,0,0,2,2,0
ALB,27_10_A_NK,TLW,PT,0,0,0,1,51,432,9,5
ALB,27_10_B,TLW,ES,2138,319,0,0,0,0,0,0
ALB,27_10_B,TLW,IE,404,0,0,0,0,0,0,0
ALB,27_10_B,TLW,PT,0,0,0,0,0,0,0,0
ALB,27_10_NK,TLW,ES,0,0,266,14,292,2,19,20
ALB,27_10_NK,TLW,PT,0,0,0,4,0,0,6,19
ALB,27_10_NK,TLW,UK,41,0,0,0,0,0,0,0
ALB,27_12,TLW,ES,18,28,52,5,31,6,0,0
ALB,27_12,TLW,FR,0,0,0,0,1,0,0,0
ALB,27_12,TLW,IE,0,0,0,0,113,0,0,0
ALB,27_10,TLW,UKM,41,0,0,0,0,0,0,0
ALB,27_10_NK,TLW,UKM,41,0,0,0,0,0,0,0
ALB,27_12,TLW,UK,2,0,0,0,0,0,0,0
ALB,27_12_A,TLW,ES,0,15,0,0,0,0,0,0
ALB,27_12_A,TLW,FR,0,0,0,0,1,0,0,0
ALB,27_12_A_1,TLW,ES,0,15,0,0,0,0,0,0
ALB,27_12_A_NK,TLW,FR,0,0,0,0,1,0,0,0
ALB,27_12_C,TLW,ES,18,14,0,0,0,0,0,0
ALB,27_12_NK,TLW,ES,0,0,52,5,31,6,0,0
ALB,27_12_NK,TLW,IE,0,0,0,0,113,0,0,0
ALB,27_12_NK,TLW,UK,2,0,0,0,0,0,0,0
ALB,27_14,TLW,ES,0,0,0,0,0,0,0,0
ALB,27_14_B,TLW,ES,0,0,0,0,0,0,0,0
ALB,27_14_B_NK,TLW,ES,0,0,0,0,0,0,0,0
ALB,27_3,TLW,ES,0,2,0,0,0,0,0,0
ALB,27_3_BC,TLW,ES,0,2,0,0,0,0,0,0
ALB,27_3_C_22,TLW,ES,0,2,0,0,0,0,0,0
ALB,27_4,TLW,FR,0,0,0,0,0,0,0,0
ALB,27_4,TLW,NL,0,0,6,0,0,0,0,0
ALB,27_12,TLW,UKM,2,0,0,0,0,0,0,0
ALB,27_12_NK,TLW,UKM,2,0,0,0,0,0,0,0
ALB,27_4,TLW,UK,0,0,0,0,0,0,0,0
ALB,27_4,TLW,UKM,0,0,0,0,0,0,0,0
ALB,27_4_A,TLW,UK,0,0,0,0,0,0,0,0
ALB,27_4_A,TLW,UKM,0,0,0,0,0,0,0,0
ALB,27_4_C,TLW,NL,0,0,6,0,0,0,0,0
ALB,27_5,TLW,FR,0,0,0,0,0,0,0,0
ALB,27_5_B,TLW,FR,0,0,0,0,0,0,0,0
ALB,27_6,TLW,ES,0,0,0,0,0,0,0,0
ALB,27_6,TLW,FR,0,0,0,0,0,0,0,4
ALB,27_6,TLW,IE,0,0,0,0,33,0,0,0
ALB,27_6,TLW,UK,0,0,0,0,0,0,0,1
ALB,27_6,TLW,UKM,0,0,0,0,0,0,0,1
ALB,27_6_A,TLW,ES,0,0,0,0,0,0,0,0
ALB,27_6_A,TLW,FR,0,0,0,0,0,0,0,4
ALB,27_6_A,TLW,UK,0,0,0,0,0,0,0,1
ALB,27_6_A,TLW,UKM,0,0,0,0,0,0,0,1
ALB,27_6_B,TLW,ES,0,0,0,0,0,0,0,0
ALB,27_6_B,TLW,FR,0,0,0,0,0,0,0,0
ALB,27_6_B,TLW,IE,0,0,0,0,33,0,0,0
ALB,27_6_B_2,TLW,ES,0,0,0,0,0,0,0,0
ALB,27_6_B_NK,TLW,ES,0,0,0,0,0,0,0,0
ALB,27_6_B_NK,TLW,IE,0,0,0,0,33,0,0,0
ALB,27_7,TLW,ES,2823,867,1241,1728,1370,1491,1604,1939
ALB,27_7,TLW,FR,4790,1668,2781,487,758,32,361,1308
ALB,27_7,TLW,IE,1818,3469,3591,693,1810,1521,491,167
ALB,27_7,TLW,PT,0,0,0,0,0,23,0,0
ALB,27_7,TLW,UK,76,29,25,60,37,15,13,1
ALB,27_7,TLW,UKM,76,29,24,51,14,0,0,0
ALB,27_7_A,TLW,ES,0,5,0,0,0,0,0,0
ALB,27_7_A,TLW,FR,0,0,0,0,0,0,28,81
ALB,27_7_A,TLW,IE,0,28,0,0,0,0,0,0
ALB,27_7_A,TLW,UK,0,0,0,0,0,0,0,0
ALB,27_7_B,TLW,ES,5,5,0,0,0,3,0,0
ALB,27_7_B,TLW,FR,0,0,0,0,0,0,0,1
ALB,27_7_B,TLW,IE,0,8,0,0,0,0,0,0
ALB,27_7_BC,TLW,ES,0,0,0,0,0,0,0,0
ALB,27_7_BC,TLW,FR,0,0,0,0,0,0,0,0
ALB,27_7_BC,TLW,IE,0,0,0,0,0,0,0,0
ALB,27_7_C,TLW,ES,74,1,0,2,0,2,0,2
ALB,27_7_C,TLW,FR,0,0,0,0,0,0,0,4
ALB,27_7_C,TLW,IE,0,16,0,0,9,0,0,0
ALB,27_7_C,TLW,UK,1,0,0,0,0,0,0,0
ALB,27_7_C_1,TLW,ES,0,1,0,0,0,0,0,0
ALB,27_7_C_2,TLW,ES,74,0,0,0,0,0,0,0
ALB,27_7_C_2,TLW,UK,1,0,0,0,0,0,0,0
ALB,27_7_C_NK,TLW,ES,0,0,0,2,0,2,0,2
ALB,27_7_C_NK,TLW,FR,0,0,0,0,0,0,0,4
ALB,27_7_C_NK,TLW,IE,0,16,0,0,9,0,0,0
ALB,27_7_D,TLW,ES,0,1,0,0,0,0,0,10
ALB,27_7_D,TLW,FR,0,1,23,0,10,0,0,0
ALB,27_7_C,TLW,UKM,1,0,0,0,0,0,0,0
ALB,27_7_C_2,TLW,UKM,1,0,0,0,0,0,0,0
ALB,27_7_D,TLW,UK,0,0,0,0,0,0,0,0
ALB,27_7_DE,TLW,ES,0,0,0,0,0,0,0,0
ALB,27_7_DE,TLW,FR,0,0,0,0,0,0,0,0
ALB,27_7_DE,TLW,IE,0,0,0,0,0,0,0,0
ALB,27_7_DE,TLW,UK,0,0,0,0,0,0,0,0
ALB,27_7_E,TLW,ES,2,2,0,8,5,0,8,0
ALB,27_7_E,TLW,FR,1,1,1,4,2,0,0,66
ALB,27_7_E,TLW,UK,0,0,0,0,0,0,0,0
ALB,27_7_F,TLW,ES,0,0,0,0,0,0,0,0
ALB,27_7_F,TLW,FR,0,0,0,0,0,0,4,38
ALB,27_7_F,TLW,UK,0,0,0,0,0,0,0,0
ALB,27_7_G,TLW,FR,0,0,0,0,0,0,81,852
ALB,27_7_G,TLW,IE,0,116,0,0,0,0,0,0
ALB,27_7_G,TLW,UK,0,0,0,0,0,0,0,0
ALB,27_7_H,TLW,ES,0,5,0,1,3,0,14,15
ALB,27_7_H,TLW,FR,5,46,2,0,28,5,197,192
ALB,27_7_H,TLW,IE,0,0,0,10,0,0,0,0
ALB,27_7_H,TLW,UK,0,0,0,0,0,0,0,0
ALB,27_7_J,TLW,ES,837,496,230,268,16,460,418,289
ALB,27_7_J,TLW,FR,3263,532,1040,73,59,6,30,28
ALB,27_7_J,TLW,IE,112,1153,770,52,86,434,29,84
ALB,27_7_J,TLW,PT,0,0,0,0,0,7,0,0
ALB,27_7_J,TLW,UK,14,29,0,8,0,4,2,1
ALB,27_7_J,TLW,UKM,14,29,0,8,0,0,0,0
ALB,27_7_J_1,TLW,ES,20,45,0,0,0,0,0,0
ALB,27_7_J_1,TLW,IE,0,3,0,0,0,0,0,0
ALB,27_7_J_2,TLW,ES,817,451,0,0,0,0,0,0
ALB,27_7_J_2,TLW,IE,112,1054,0,0,0,0,0,0
ALB,27_7_J_2,TLW,UK,14,29,0,8,0,4,2,0
ALB,27_7_J_2,TLW,UKM,14,29,0,8,0,0,0,0
ALB,27_7_J_NK,TLW,ES,0,0,230,268,16,460,418,289
ALB,27_7_J_NK,TLW,FR,3263,532,1040,73,59,6,30,28
ALB,27_7_J_NK,TLW,IE,0,96,770,52,86,434,29,84
ALB,27_7_J_NK,TLW,PT,0,0,0,0,0,7,0,0
ALB,27_7_J_NK,TLW,UK,0,0,0,0,0,0,0,1
ALB,27_7_K,TLW,ES,1905,350,1011,1449,1346,1026,1165,1623
ALB,27_7_K,TLW,FR,1521,1088,1715,409,659,20,22,46
ALB,27_7_K,TLW,IE,1706,2148,2820,630,1715,1087,461,83
ALB,27_7_K,TLW,PT,0,0,0,0,0,16,0,0
ALB,27_7_K,TLW,UK,62,0,25,52,37,11,11,0
ALB,27_7_K,TLW,UKM,62,0,24,43,14,0,0,0
ALB,27_7_K_1,TLW,ES,727,238,0,0,0,0,0,0
ALB,27_7_K_1,TLW,IE,296,612,0,0,0,0,0,0
ALB,27_7_K_1,TLW,UK,11,0,5,4,0,0,0,0
ALB,27_7_K_1,TLW,UKM,11,0,5,4,0,0,0,0
ALB,27_7_K_2,TLW,ES,1178,112,0,0,0,0,0,0
ALB,27_7_K_2,TLW,IE,1410,1503,0,0,0,0,0,0
ALB,27_7_K_2,TLW,UK,50,0,20,48,37,11,11,0
ALB,27_7_K_2,TLW,UKM,50,0,19,39,14,0,0,0
ALB,27_7_K_NK,TLW,ES,0,0,1011,1449,1346,1026,1165,1623
ALB,27_7_K_NK,TLW,FR,1521,1088,1715,409,659,20,22,46
ALB,27_7_K_NK,TLW,IE,0,33,2820,630,1715,1087,461,83
ALB,27_7_K_NK,TLW,PT,0,0,0,0,0,16,0,0
ALB,27_7_K_NK,TLW,UK,0,0,0,0,0,0,0,0
ALB,27_8,TLW,ES,4359,6212,5883,10609,7347,11962,12443,20687
ALB,27_8,TLW,FR,622,2756,791,810,531,277,2212,4217
ALB,27_8,TLW,IE,9,202,7,94,42,1,66,355
ALB,27_8,TLW,PT,1,0,0,42,0,29,0,0
ALB,27_8,TLW,UK,14,21,32,58,29,34,17,16
ALB,27_8,TLW,UKM,14,21,28,49,2,0,8,16
ALB,27_8_A,TLW,ES,1,601,8,42,36,78,205,480
ALB,27_8_A,TLW,FR,70,467,59,179,24,55,941,2116
ALB,27_8_A,TLW,IE,0,0,0,0,0,0,10,35
ALB,27_8_A,TLW,UK,0,0,0,0,0,3,3,0
ALB,27_8_A,TLW,UKM,0,0,0,0,0,0,0,0
ALB,27_8_B,TLW,ES,38,1204,822,4,20,418,227,784
ALB,27_8_B,TLW,FR,10,61,50,3,42,27,835,1234
ALB,27_8_B,TLW,IE,0,0,0,0,0,0,5,25
ALB,27_8_C,TLW,ES,1958,2676,2981,1836,869,3993,6128,6851
ALB,27_8_C,TLW,FR,152,375,8,23,42,19,116,255
ALB,27_8_C,TLW,IE,0,0,0,0,0,0,1,23
ALB,27_8_C,TLW,PT,1,0,0,25,0,1,0,0
ALB,27_8_C,TLW,UK,0,0,1,1,0,0,0,0
ALB,27_8_C,TLW,UKM,0,0,1,1,0,0,0,0
ALB,27_8_D,TLW,ES,2087,1429,523,2140,3696,6524,3626,9505
ALB,27_8_D,TLW,FR,354,1842,183,301,413,155,297,529
ALB,27_8_D,TLW,IE,0,0,0,94,42,1,50,272
ALB,27_8_D,TLW,PT,0,0,0,1,0,16,0,0
ALB,27_8_D,TLW,UK,4,21,2,5,10,27,14,16
ALB,27_8_D,TLW,UKM,4,21,2,5,2,0,8,16
ALB,27_8_D_1,TLW,ES,13,185,0,2140,3696,0,0,0
ALB,27_8_D_2,TLW,ES,2074,1244,0,0,0,0,0,0
ALB,27_8_D_2,TLW,PT,0,0,0,0,0,0,0,0
ALB,27_8_D_2,TLW,UK,4,21,2,5,10,27,14,0
ALB,27_8_D_2,TLW,UKM,4,21,2,5,2,0,8,0
ALB,27_8_D_NK,TLW,ES,0,0,523,0,0,6524,3626,9505
ALB,27_8_D_NK,TLW,FR,354,1842,183,301,413,155,297,529
ALB,27_8_D_NK,TLW,IE,0,0,0,94,42,1,50,272
ALB,27_8_D_NK,TLW,PT,0,0,0,1,0,16,0,0
ALB,27_8_D_NK,TLW,UK,0,0,0,0,0,0,0,16
ALB,27_8_D_NK,TLW,UKM,0,0,0,0,0,0,0,16
ALB,27_8_E,TLW,ES,274,300,1549,6587,2715,949,2257,3067
ALB,27_8_E,TLW,FR,36,12,490,304,9,22,23,83
ALB,27_8_E,TLW,IE,9,202,7,0,0,0,0,0
ALB,27_8_E,TLW,PT,0,0,0,16,0,12,0,0
ALB,27_8_E,TLW,UK,10,0,29,53,19,4,0,0
ALB,27_8_E,TLW,UKM,10,0,25,44,0,0,0,0
ALB,27_8_E_1,TLW,ES,231,283,0,6587,2715,0,0,0
ALB,27_8_E_1,TLW,IE,9,202,0,0,0,0,0,0
ALB,27_8_E_1,TLW,PT,0,0,0,0,0,0,0,0
ALB,27_8_E_1,TLW,UK,10,0,25,44,0,0,0,0
ALB,27_8_E_1,TLW,UKM,10,0,25,44,0,0,0,0
ALB,27_8_E_2,TLW,ES,43,17,0,0,0,0,0,0
ALB,27_8_E_2,TLW,PT,0,0,0,0,0,0,0,0
ALB,27_8_E_2,TLW,UK,0,0,4,9,19,4,0,0
ALB,27_8_E_NK,TLW,ES,0,0,1549,0,0,949,2257,3067
ALB,27_8_E_NK,TLW,FR,36,12,490,304,9,22,23,83
ALB,27_8_E_NK,TLW,IE,0,0,7,0,0,0,0,0
ALB,27_8_E_NK,TLW,PT,0,0,0,16,0,12,0,0
ALB,27_8_E_NK,TLW,UK,0,0,0,0,0,0,0,0
ALB,27_8_NK,TLW,ES,0,2,0,0,10,0,0,0
ALB,27_8_NK,TLW,UK,0,0,0,0,0,0,0,0
ALB,27_9,TLW,ES,70,64,30,81,17,126,131,189
ALB,27_9,TLW,FR,0,0,0,0,0,0,0,1
ALB,27_9,TLW,IE,0,0,0,0,0,0,0,0
ALB,27_9,TLW,PT,50,111,145,14,2,4,24,20
ALB,27_9_A,TLW,ES,68,63,26,74,13,125,110,56
