alpha,Scientific_name,english_name
LAU,Petromyzon marinus,Sea lamprey
LAR,Lampetra fluviatilis,River lamprey
LAO,Entosphenus tridentatus,Pacific lamprey
LAY,Ichthyomyzon unicuspis,Silver lamprey
LAF,Eudontomyzon mariae,Ukrainian brook lamprey
LAE,Geotria australis,Pouched lamprey
LAK,Mordacia mordax,Australian lamprey
LAW,Caspiomyzon wagneri,Caspian lamprey
LAS,Petromyzontidae,Lampreys nei
MYP,Paramyxine atami,Brown hagfish
MYG,Myxine glutinosa,Hagfish
MYE,Nemamyxine elongata,
MYB,Eptatretus burgeri,Inshore hagfish
MYU,Eptatretus stoutii,Pacific hagfish
MYX,Myxinidae,Hagfishes nei
HEF,Heterodontus francisci,Horn shark
HEG,Heterodontus galeatus,Crested bullhead shark
HEJ,Heterodontus japonicus,Japanese bullhead shark
HEM,Heterodontus mexicanus,Mexican hornshark
HEK,Heterodontus portusjacksoni,Port Jackson shark
HEQ,Heterodontus quoyi,Galapagos bullhead shark
HEA,Heterodontus ramalheira,Whitespotted bullhead shark
HEZ,Heterodontus zebra,Zebra bullhead shark
HDQ,Heterodontiformes,Bullhead sharks
HXC,Chlamydoselachus anguineus,Frilled shark
SBL,Hexanchus griseus,Bluntnose sixgill shark
HXN,Hexanchus nakamurai,Bigeyed sixgill shark
HXT,Heptranchias perlo,Sharpnose sevengill shark
NTC,Notorynchus cepedianus,Broadnose sevengill shark
HXW,Hexanchiformes,Frilled and cow sharks
BSK,Cetorhinus maximus,Basking shark
CCT,Carcharias taurus,Sand tiger shark
LOU,Carcharias tricuspidatus,Indian sand tiger
LOO,Odontaspis ferox,Smalltooth sand tiger
ODH,Odontaspis noronhai,Bigeye sand tiger shark
LMO,Mitsukurina owstoni,Goblin shark
PSK,Pseudocarcharias kamoharai,Crocodile shark
LMP,Megachasma pelagios,Megamouth shark
ALV,Alopias vulpinus,Thresher
PTH,Alopias pelagicus,Pelagic thresher
BTH,Alopias superciliosus,Bigeye thresher
THR,Alopias spp,Thresher sharks nei
SMA,Isurus oxyrinchus,Shortfin mako
LMA,Isurus paucus,Longfin mako
MAK,Isurus spp,Mako sharks
POR,Lamna nasus,Porbeagle
LMD,Lamna ditropis,Salmon shark
WSH,Carcharodon carcharias,Great white shark
